,base_market,quote_market,hedge_ratio,half_life
0,SNX-USD,XTZ-USD,2.6213341753636668,23.0
1,SNX-USD,ICP-USD,0.49712598869501506,12.0
2,SNX-USD,ZEC-USD,0.07366308907108744,17.0
3,SNX-USD,ATOM-USD,0.22444898769630856,9.0
4,SNX-USD,ENJ-USD,7.155139256860626,7.0
5,SNX-USD,NEAR-USD,1.4890241424466855,9.0
6,SNX-USD,CRV-USD,2.8299106506248823,11.0
7,SNX-USD,UNI-USD,0.4708952571173211,16.0
8,SNX-USD,MATIC-USD,2.660968595787588,14.0
9,XTZ-USD,YFI-USD,0.00013906181217235338,13.0
10,XTZ-USD,COMP-USD,0.025607274568200694,13.0
11,ICP-USD,UMA-USD,2.42770375271779,6.0
12,ICP-USD,MATIC-USD,5.352033646889177,11.0
13,ETC-USD,LINK-USD,2.808558737138068,7.0
14,ETC-USD,YFI-USD,0.002788822817303284,11.0
15,ETC-USD,UMA-USD,9.228157710134601,22.0
16,ETC-USD,UNI-USD,3.601400892565698,14.0
17,ZEC-USD,ZRX-USD,146.07639822746202,12.0
18,ZEC-USD,YFI-USD,0.00494893078259878,21.0
19,ZEC-USD,UNI-USD,6.390982409320604,21.0
20,LINK-USD,ZRX-USD,29.30592841579563,11.0
21,LINK-USD,YFI-USD,0.0009929456212195745,9.0
22,LINK-USD,COMP-USD,0.18283652323776975,13.0
23,LINK-USD,UNI-USD,1.2822871024235494,9.0
24,ATOM-USD,ENJ-USD,31.875379398209088,5.0
25,ATOM-USD,NEAR-USD,6.633525528836497,7.0
26,ATOM-USD,ADA-USD,28.647727797673525,16.0
27,BCH-USD,RUNE-USD,100.20105756807057,21.0
28,BCH-USD,BTC-USD,0.004209481975646978,8.0
29,BCH-USD,DOGE-USD,1595.9767878530647,11.0
30,BCH-USD,AVAX-USD,7.903226519728262,7.0
31,ENJ-USD,NEAR-USD,0.20808869001020583,9.0
32,ENJ-USD,ADA-USD,0.8985817173191648,16.0
33,ENJ-USD,CRV-USD,0.39548186914103817,9.0
34,ENJ-USD,MATIC-USD,0.3718274174659695,21.0
35,ZRX-USD,YFI-USD,3.3878057947510305e-05,7.0
36,ZRX-USD,UNI-USD,0.04374911684071012,7.0
37,YFI-USD,COMP-USD,184.12496082983338,13.0
38,YFI-USD,DOT-USD,1215.2591420777749,15.0
39,YFI-USD,DOGE-USD,90050.89935404276,11.0
40,YFI-USD,UNI-USD,1291.2995777834544,8.0
41,COMP-USD,DOGE-USD,488.94760487146397,19.0
42,EOS-USD,ETH-USD,0.00047571771206137727,12.0
43,NEAR-USD,ADA-USD,4.318288615312576,12.0
44,NEAR-USD,MATIC-USD,1.7868209825968195,22.0
45,ALGO-USD,MATIC-USD,0.16619066607089591,19.0
46,UMA-USD,CRV-USD,2.344042747881618,8.0
47,UMA-USD,UNI-USD,0.3900119807245923,15.0
48,UMA-USD,MATIC-USD,2.203970450323194,13.0
49,DOGE-USD,AAVE-USD,0.0011166228060605539,20.0
50,DOGE-USD,UNI-USD,0.014337326288090353,14.0
